@relation testDeltaOriginal

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute x51 numeric
@attribute y51 numeric
@attribute x52 numeric
@attribute y52 numeric
@attribute x53 numeric
@attribute y53 numeric
@attribute x54 numeric
@attribute y54 numeric
@attribute x55 numeric
@attribute y55 numeric
@attribute x56 numeric
@attribute y56 numeric
@attribute x57 numeric
@attribute y57 numeric
@attribute x58 numeric
@attribute y58 numeric
@attribute x59 numeric
@attribute y59 numeric
@attribute x60 numeric
@attribute y60 numeric
@attribute result {half-circle, line, sine}


@data
0,0,2,1,3,1,3,13,3,11,7,22,9,18,9,20,15,19,25,23,21,15,24,9,36,6,23,3,17,4,13,7,12,8,10,12,7,10,10,11,10,13,8,21,8,19,0,29,1,11,3,22,5,16,3,28,3,7,8,4,14,2,20,9,19,11,16,12,13,11,11,12,8,15,9,30,4,15,6,38,10,28,8,13,8,5,10,1,14,2,8,9,2,12,4,16,4,16,2,17,3,12,1,11,8,31,8,36,2,15,5,19,2,11,3,10,2,2,2,0,sine
0,0,1,1,2,12,2,14,7,21,4,12,24,37,23,23,26,19,53,28,30,12,27,6,25,4,24,0,32,6,18,5,20,7,28,18,13,12,8,16,5,25,0,21,3,29,1,25,5,35,8,20,24,27,14,11,2,3,3,2,4,2,3,1,2,2,60,29,14,18,12,18,7,19,4,31,1,20,0,16,1,24,2,14,5,10,7,4,6,3,2,6,3,9,3,15,4,17,2,26,1,16,0,14,1,13,0,15,1,10,3,23,1,3,1,8,3,15,66,26,sine
0,0,2,2,2,9,5,12,24,18,24,11,27,11,33,19,20,11,17,10,29,18,17,11,17,7,18,4,22,3,22,1,15,2,12,3,8,5,9,8,15,14,5,10,3,15,5,36,1,34,3,20,2,21,2,31,13,18,17,12,18,4,19,4,36,1,19,3,13,10,6,20,8,25,6,36,4,18,4,15,1,52,1,20,4,18,8,19,7,6,5,1,10,32,3,18,4,13,2,28,5,23,3,27,1,14,1,20,3,8,1,14,3,23,1,8,1,4,2,4,sine
0,0,1,0,2,0,1,0,1,8,3,14,5,23,11,25,27,29,19,17,23,18,48,26,33,5,37,3,29,9,39,12,17,13,15,15,15,19,11,22,5,22,6,46,11,29,8,26,8,17,7,11,18,3,20,5,25,5,35,19,16,14,14,19,10,27,4,19,2,16,2,20,2,35,4,19,7,16,7,12,6,2,10,7,9,11,4,8,4,14,3,15,5,27,3,18,2,19,0,16,2,17,1,14,1,13,0,11,4,9,3,3,1,8,1,4,4,2,1,2,sine
0,0,1,1,1,1,2,3,5,7,4,4,2,1,198,3,201,4,10,18,9,18,14,20,42,47,29,15,19,7,55,8,33,5,29,8,21,12,17,11,22,39,6,26,3,30,1,22,8,21,13,17,14,20,4,14,23,9,16,2,26,8,30,19,17,22,11,25,6,22,2,16,4,7,2,15,5,34,4,19,8,14,7,8,7,4,9,9,10,15,8,25,3,17,1,21,2,23,3,16,2,4,2,20,4,19,5,14,6,18,10,6,4,3,1,1,1,2,4,4,sine
0,0,1,1,1,0,1,1,1,1,2,2,4,5,8,14,5,7,18,20,17,19,19,13,32,30,20,23,21,18,34,24,24,8,29,7,46,6,25,8,19,13,21,24,10,13,6,32,3,27,14,23,10,34,8,47,5,13,11,14,14,8,25,3,18,0,18,12,21,24,7,20,6,26,6,36,3,22,4,21,4,29,4,18,7,14,9,7,14,3,8,9,12,19,5,18,2,19,1,8,1,28,1,23,1,27,3,16,4,37,3,11,4,10,1,11,2,1,1,1,sine
0,0,1,1,1,6,2,10,8,14,11,19,31,34,28,23,24,20,25,21,21,15,31,17,21,2,18,1,18,2,13,5,16,5,21,11,4,9,7,7,4,11,3,45,3,22,4,50,5,25,14,36,13,16,11,6,13,4,10,5,30,7,13,14,11,16,8,22,8,22,8,27,3,22,1,20,2,27,8,26,5,11,18,6,7,8,7,9,6,10,5,17,4,17,1,15,2,13,1,42,2,13,1,13,2,11,3,9,2,5,2,6,1,11,3,3,1,3,4,0,sine
0,0,3,16,9,20,23,32,7,9,12,13,25,19,44,22,34,8,28,1,22,3,21,6,25,10,28,19,16,18,12,17,5,19,2,10,1,19,17,43,2,14,2,5,2,7,1,2,7,26,4,16,3,11,13,5,18,5,22,5,42,20,18,16,15,14,11,12,6,17,4,15,2,16,2,10,1,9,4,14,3,38,5,12,10,0,14,7,8,8,6,9,7,11,4,18,8,28,6,21,2,22,2,20,0,18,0,17,1,14,2,15,3,9,1,6,1,1,4,1,sine
0,0,1,0,4,1,2,2,4,5,2,3,7,16,4,9,6,14,10,19,30,31,25,21,27,18,27,12,32,9,37,8,21,2,20,7,29,8,17,8,10,10,17,26,10,26,3,28,9,31,12,25,13,30,2,8,4,16,4,15,18,12,16,4,18,1,18,2,17,10,17,25,9,23,8,31,5,20,2,37,4,33,1,14,11,21,9,8,9,4,11,0,12,12,8,13,5,16,1,17,2,20,2,31,1,19,3,18,1,14,1,19,2,11,0,9,2,10,1,5,sine
0,0,5,8,5,8,9,12,9,16,15,14,32,22,25,14,23,18,51,28,27,8,26,3,27,1,14,3,8,3,12,2,11,4,24,19,12,11,7,13,1,18,1,17,5,13,3,16,5,17,6,18,6,16,13,39,18,10,20,8,19,6,14,4,15,3,15,5,27,21,5,20,1,24,2,25,1,31,1,27,1,20,2,16,9,30,2,2,4,9,7,26,4,21,1,19,0,21,1,27,1,17,1,17,2,14,3,30,3,22,1,10,4,7,5,3,1,1,1,1,sine
