@relation deltaDiffOrientation

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute x51 numeric
@attribute y51 numeric
@attribute x52 numeric
@attribute y52 numeric
@attribute x53 numeric
@attribute y53 numeric
@attribute x54 numeric
@attribute y54 numeric
@attribute x55 numeric
@attribute y55 numeric
@attribute x56 numeric
@attribute y56 numeric
@attribute x57 numeric
@attribute y57 numeric
@attribute x58 numeric
@attribute y58 numeric
@attribute x59 numeric
@attribute y59 numeric
@attribute x60 numeric
@attribute y60 numeric
@attribute result {half-circle, line, sine}


@data
0,0,2,1,2,0,2,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,2,0,1,0,2,1,1,0,1,1,0,7,1,8,1,14,4,17,13,29,19,18,12,9,23,20,40,24,23,9,30,8,21,1,20,4,18,3,29,4,17,1,11,0,7,1,19,2,15,1,12,5,8,5,11,9,8,6,10,7,9,9,13,14,14,19,8,15,5,16,3,14,2,14,1,13,2,13,1,11,3,40,2,10,6,18,4,6,2,6,3,5,3,1,17,5,half-circle
0,0,1,1,1,1,0,1,1,1,2,2,0,1,1,2,4,5,2,8,1,8,1,16,2,14,3,5,1,4,2,7,8,20,12,21,13,21,22,15,38,12,33,6,27,10,43,1,26,3,32,1,34,1,45,6,29,6,24,8,16,7,12,9,5,3,5,2,3,3,1,2,11,16,6,13,11,19,2,18,5,15,3,26,2,13,4,11,4,14,5,7,2,8,1,7,1,13,1,8,0,9,1,6,1,5,0,4,2,3,1,1,0,0,0,1,2,4,12,4,half-circle
0,0,6,3,6,1,3,1,1,1,1,0,3,0,9,0,7,0,4,0,15,1,5,0,11,3,12,9,12,8,8,7,8,10,8,9,16,13,13,9,10,10,9,7,11,7,12,9,15,12,21,12,4,4,17,11,13,5,8,3,20,9,12,4,9,0,11,3,9,3,10,2,18,0,22,7,16,2,17,2,18,6,17,9,14,12,5,9,10,16,6,10,9,17,2,6,1,9,1,43,1,7,1,9,2,7,1,8,1,5,1,5,1,8,3,9,1,1,1,8,half-circle
0,0,1,1,2,1,2,2,1,6,0,10,3,11,5,10,12,15,7,10,21,7,20,6,21,7,31,18,23,9,20,10,20,8,19,7,25,6,23,6,13,6,17,1,18,2,17,2,23,3,11,1,12,3,14,6,14,8,14,12,5,6,6,8,8,10,8,12,9,13,7,13,4,12,2,13,0,14,2,20,1,9,2,9,1,9,1,7,0,3,1,10,0,6,0,7,1,8,0,4,1,3,1,4,1,4,0,2,0,0,1,0,1,0,0,0,1,0,0,3,half-circle
0,0,1,0,1,0,1,3,1,6,0,10,2,8,4,13,6,8,15,10,28,9,33,6,30,10,29,11,36,14,17,9,20,10,18,5,17,5,31,1,19,4,24,3,29,1,19,2,16,2,14,6,16,8,24,9,12,8,9,13,4,11,2,14,6,11,10,14,7,17,1,10,0,10,1,8,2,20,1,11,1,8,0,4,2,15,1,7,1,9,0,9,1,4,1,2,1,1,1,1,0,0,0,1,1,0,1,1,1,1,14,2,2,3,4,3,3,2,3,3,half-circle
0,0,8,3,8,4,10,2,5,3,15,24,5,13,2,15,6,27,8,20,17,20,12,10,13,11,29,15,24,4,16,12,22,1,22,2,20,0,15,2,20,2,15,1,17,0,17,2,10,0,16,1,3,3,1,3,1,0,4,3,4,7,3,6,8,0,11,5,19,6,13,5,21,4,11,4,11,5,11,6,9,5,20,16,8,8,6,6,10,15,5,14,1,8,3,4,4,13,1,36,4,17,2,21,2,6,4,5,2,5,3,5,2,2,2,1,1,1,2,4,half-circle
0,0,3,7,7,6,9,8,24,4,20,4,13,8,12,10,18,9,10,7,20,7,21,12,16,14,16,9,16,2,18,5,24,12,16,6,15,6,9,4,7,6,10,7,9,2,8,2,10,3,7,2,12,3,18,5,19,3,20,4,20,3,17,6,20,10,13,8,9,6,8,10,6,6,7,6,9,10,11,13,5,6,4,5,4,9,3,4,1,7,2,23,2,8,4,13,4,15,1,7,1,10,1,5,1,5,1,9,1,3,1,5,1,7,3,5,1,3,1,1,half-circle
0,0,1,1,1,1,4,2,7,10,24,16,23,8,24,12,23,10,22,7,28,16,16,10,19,11,17,12,17,10,27,11,15,8,18,6,27,8,18,4,18,1,23,2,11,4,10,3,15,4,12,7,20,16,10,15,10,12,9,12,14,21,1,5,6,11,2,12,1,12,0,11,0,19,0,11,3,9,2,9,1,10,1,11,0,7,1,8,2,7,1,5,2,6,1,3,0,3,2,1,0,2,1,2,1,2,1,0,1,1,1,0,2,0,2,1,2,2,2,2,half-circle
0,0,1,0,2,8,2,11,0,14,1,14,10,18,4,4,4,9,2,5,8,6,2,2,2,2,6,6,5,2,5,6,3,2,3,2,19,11,15,7,16,6,38,8,34,8,32,5,27,3,39,2,23,1,27,4,27,7,29,9,12,5,10,10,15,13,12,13,11,22,8,17,5,16,3,11,3,13,3,17,0,8,1,22,1,12,1,8,2,9,2,7,1,10,1,4,0,4,0,2,1,2,0,2,0,0,1,1,1,0,1,1,2,1,1,1,1,0,14,2,half-circle
0,0,2,0,7,11,8,2,18,9,28,14,16,6,13,7,14,9,16,6,12,8,15,12,15,9,13,10,14,7,13,10,17,10,18,6,13,6,19,11,16,5,8,1,9,5,7,1,12,2,9,1,15,2,6,3,21,6,5,1,5,1,1,2,2,0,4,4,10,4,11,6,13,4,5,4,10,11,9,11,9,7,7,8,4,7,5,7,15,18,2,8,5,37,2,7,3,14,1,6,2,4,2,6,1,6,1,20,1,9,2,3,4,14,1,5,2,4,1,4,half-circle
0,0,2,9,3,13,4,24,14,17,14,18,7,14,7,11,9,9,12,7,21,9,27,10,35,7,27,1,24,2,32,9,14,7,16,0,18,3,17,3,13,2,13,1,12,1,13,3,25,1,10,0,12,3,10,0,12,6,7,0,12,11,11,9,8,9,8,11,10,22,4,9,5,14,2,6,5,9,2,9,2,6,1,6,1,8,1,4,1,4,1,6,3,9,2,23,7,10,4,6,3,8,4,7,6,8,2,8,2,9,1,2,2,3,1,1,1,0,1,1,half-circle
0,0,1,1,1,0,1,1,1,0,1,1,4,3,0,0,3,4,3,7,4,6,3,7,1,8,2,8,2,13,11,26,16,22,25,22,27,22,38,18,34,10,77,9,35,2,36,7,28,10,20,10,17,13,17,21,7,16,3,13,4,12,3,9,1,11,2,10,6,17,2,11,2,10,3,11,5,15,1,9,2,12,2,9,1,10,1,10,2,4,4,1,1,1,3,2,2,0,1,1,0,1,3,5,2,2,2,3,2,2,1,3,2,3,5,2,2,1,1,0,half-circle
0,0,3,1,7,5,12,8,23,14,23,11,13,5,20,12,18,16,9,8,14,14,9,7,17,9,14,12,10,11,6,9,14,6,9,7,9,9,20,10,8,4,6,0,8,0,14,1,9,3,11,1,3,1,1,0,1,5,11,7,14,5,16,3,15,9,6,7,11,10,5,7,4,8,9,16,4,8,6,10,3,6,7,14,1,9,3,8,0,12,1,2,1,11,1,9,1,6,3,10,2,5,2,11,0,8,3,6,1,3,0,7,1,2,0,0,1,0,0,2,half-circle
0,0,6,10,9,7,13,7,48,18,23,8,40,18,16,7,34,14,15,5,17,8,2,32,11,14,14,1,19,0,29,1,21,0,27,1,15,1,12,1,15,0,10,0,11,0,16,2,9,2,9,3,17,4,8,3,8,5,11,9,5,5,5,4,7,8,5,7,5,6,3,5,3,4,3,3,8,6,13,7,9,8,3,10,1,9,15,9,16,14,4,6,3,4,2,6,1,5,2,28,2,8,1,9,1,11,1,4,1,4,1,2,1,1,1,1,1,4,1,3,half-circle
0,0,2,2,1,2,4,10,3,10,1,6,3,7,14,16,23,19,20,14,21,12,30,14,17,6,18,10,17,5,19,6,12,5,9,11,26,8,12,1,14,3,11,0,16,1,8,2,8,2,13,1,12,0,15,1,13,1,9,0,7,1,10,2,11,8,15,10,14,11,9,6,8,11,7,11,3,8,2,8,1,9,3,4,3,10,1,10,1,11,1,8,1,19,1,39,1,6,3,11,2,10,1,7,1,3,2,4,2,8,2,2,1,1,1,0,2,1,1,1,half-circle
0,0,4,5,10,39,13,14,6,9,32,26,20,9,24,12,22,13,50,27,20,11,22,14,15,4,25,2,15,1,12,3,14,1,10,0,9,1,10,2,9,0,12,1,11,1,11,2,9,5,7,0,9,2,9,2,9,2,6,3,10,9,4,1,13,11,5,6,4,4,7,7,2,3,6,7,8,12,2,6,3,5,2,6,1,7,3,6,1,4,1,11,1,24,1,5,3,9,2,7,4,18,1,23,3,19,3,5,2,1,1,7,1,1,1,0,1,1,5,0,half-circle
0,0,8,19,12,13,17,11,17,10,6,10,10,9,11,13,9,8,9,5,9,4,16,15,11,9,10,7,11,9,5,2,27,15,16,6,12,4,12,5,22,9,11,2,14,1,14,1,12,1,7,2,8,1,10,1,16,1,7,1,8,1,16,7,12,3,14,7,11,12,7,5,14,15,2,7,4,11,5,5,5,15,2,8,4,16,2,9,3,6,2,4,3,12,3,11,3,7,3,18,3,21,1,8,1,14,2,6,2,3,2,9,2,7,2,1,1,4,6,15,half-circle
0,0,21,10,24,12,14,8,12,5,12,9,17,10,17,16,12,8,11,5,10,3,10,3,12,5,10,0,10,4,14,6,8,1,10,3,9,2,12,0,23,2,32,1,15,1,25,5,18,6,9,5,9,6,10,8,11,9,7,7,7,7,7,16,4,9,3,5,5,12,7,12,2,7,3,11,0,8,2,10,0,7,0,6,0,10,2,6,0,7,1,26,1,4,2,9,0,6,1,6,2,4,3,10,2,5,1,10,1,0,2,0,1,1,1,1,1,0,3,3,half-circle
0,0,2,1,1,1,3,2,2,4,9,15,17,11,22,9,23,10,19,8,25,11,12,7,16,11,16,11,31,12,17,4,18,8,24,15,16,3,14,4,21,2,15,2,20,1,19,1,14,3,12,0,13,4,13,5,16,5,8,6,11,13,5,10,5,9,10,16,7,12,2,11,3,8,1,14,3,19,1,10,1,10,1,10,4,13,2,10,2,9,2,10,1,5,3,10,1,4,2,2,2,3,0,2,1,1,0,1,5,2,4,1,0,2,1,2,1,1,2,0,half-circle
0,0,1,1,0,1,1,1,5,0,6,1,3,3,0,7,3,12,14,16,19,12,35,20,23,11,24,13,29,19,19,12,20,10,22,8,19,6,20,4,27,3,17,4,18,3,20,1,31,4,17,5,10,2,21,9,10,6,8,7,8,11,6,10,7,9,6,12,8,23,4,7,7,11,6,14,3,10,3,10,1,10,1,9,0,8,1,8,2,6,0,4,0,6,1,5,1,5,1,2,1,4,0,4,0,2,1,2,1,2,3,0,1,1,2,0,2,2,2,1,half-circle
